cell_id,cell_lat,cell_lon,centroid_lat,centroid_lon
12.3_75.7,12.3,75.7,12.350000000000001,75.75
12.200000000000001_75.8,12.200000000000001,75.8,12.250000000000002,75.85
12.3_75.9,12.3,75.9,12.350000000000001,75.95
9.5_77.0,9.5,77.0,9.55,77.05
11.8_76.0,11.8,76.0,11.850000000000001,76.05
11.200000000000001_75.7,11.200000000000001,75.7,11.250000000000002,75.75
10.200000000000001_76.4,10.200000000000001,76.4,10.250000000000002,76.45
10.0_77.0,10.0,77.0,10.05,77.05
10.5_76.2,10.5,76.2,10.55,76.25
10.5_76.9,10.5,76.9,10.55,76.95
13.3_75.7,13.3,75.7,13.350000000000001,75.75
12.9_75.7,12.9,75.7,12.950000000000001,75.75
12.3_76.5,12.3,76.5,12.350000000000001,76.55
12.9_74.9,12.9,74.9,12.950000000000001,74.95
8.9_77.2,8.9,77.2,8.950000000000001,77.25
9.1_77.5,9.1,77.5,9.15,77.55
12.3_76.60000000000001,12.3,76.60000000000001,12.350000000000001,76.65
10.0_77.10000000000001,10.0,77.10000000000001,10.05,77.15
14.5_74.3,14.5,74.3,14.55,74.35
11.600000000000001_75.9,11.600000000000001,75.9,11.650000000000002,75.95
11.600000000000001_76.0,11.600000000000001,76.0,11.650000000000002,76.05
11.4_75.9,11.4,75.9,11.450000000000001,75.95
12.4_75.60000000000001,12.4,75.60000000000001,12.450000000000001,75.65
13.600000000000001_76.0,13.600000000000001,76.0,13.650000000000002,76.05
9.4_76.4,9.4,76.4,9.450000000000001,76.45
9.700000000000001_76.3,9.700000000000001,76.3,9.750000000000002,76.35
8.6_77.4,8.6,77.4,8.65,77.45
12.100000000000001_75.8,12.100000000000001,75.8,12.150000000000002,75.85
14.100000000000001_74.4,14.100000000000001,74.4,14.150000000000002,74.45
11.5_76.0,11.5,76.0,11.55,76.05
10.9_75.9,10.9,75.9,10.950000000000001,75.95
9.4_76.80000000000001,9.4,76.80000000000001,9.450000000000001,76.85000000000001
15.5_74.0,15.5,74.0,15.55,74.05
14.700000000000001_74.7,14.700000000000001,74.7,14.750000000000002,74.75
10.5_76.10000000000001,10.5,76.10000000000001,10.55,76.15
13.3_75.8,13.3,75.8,13.350000000000001,75.85
9.600000000000001_77.10000000000001,9.600000000000001,77.10000000000001,9.650000000000002,77.15
11.5_75.8,11.5,75.8,11.55,75.85
11.5_75.9,11.5,75.9,11.55,75.95
12.4_75.7,12.4,75.7,12.450000000000001,75.75
12.8_76.9,12.8,76.9,12.850000000000001,76.95
9.5_76.5,9.5,76.5,9.55,76.55
11.600000000000001_76.10000000000001,11.600000000000001,76.10000000000001,11.650000000000002,76.15
12.0_75.8,12.0,75.8,12.05,75.85
13.5_75.0,13.5,75.0,13.55,75.05
11.8_77.2,11.8,77.2,11.850000000000001,77.25
10.3_76.10000000000001,10.3,76.10000000000001,10.350000000000001,76.15
