species,iucn_category,weight
Astrobatrachus kurichiyana,DD,1
Beddomixalus bijui,EN,4
Beduka amboli,LC,1
Beduka koynayensis,LC,1
Blaira ornata,LC,1
Blaira rubigina,LC,1
Clinotarsus curtipes,LC,1
Duttaphrynus beddomii,VU,3
Duttaphrynus brevirostris,VU,3
Duttaphrynus melanostictus,LC,1
Duttaphrynus microtympanum,LC,1
Duttaphrynus parietalis,LC,1
Duttaphrynus scaber,LC,1
Euphlyctis cyanophlyctis,LC,1
Euphlyctis jaladhara,LC,1
Fejervarya limnocharis,LC,1
Firouzophrynus hololius,LC,1
Firouzophrynus stomaticus,LC,1
Gegeneophis danieli,LC,1
Gegeneophis goaensis,DD,1
Gegeneophis pareshi,DD,1
Gegeneophis ramaswamii,LC,1
Gegeneophis seshachari,LC,1
Ghatixalus asterops,NT,2
Ghatixalus magnus,VU,3
Ghatixalus variabilis,EN,4
Hoplobatrachus crassus,LC,1
Hoplobatrachus tigerinus,LC,1
Hylarana aurantiaca,EN,4
Hylarana bahuvistara,LC,1
Hylarana caesari,VU,3
Hylarana doni,NT,2
Hylarana flavescens,VU,3
Hylarana indica,LC,1
Hylarana intermedia,LC,1
Hylarana magna,VU,3
Hylarana malabarica,LC,1
Hylarana montana,LC,1
Hylarana sreeni,LC,1
Hylarana temporalis,VU,3
Hylarana urbis,VU,3
Ichthyophis beddomei,LC,1
Ichthyophis davidi,DD,1
Ichthyophis kodaguensis,LC,1
Ichthyophis longicephalus,NT,2
Ichthyophis tricolor,LC,1
Indirana beddomii,EN,4
Indirana brachytarsus,LC,1
Indirana chiravasi,LC,1
Indirana duboisi,NT,2
Indirana gundia,NT,2
Indirana leithii,LC,1
Indirana paramakri,EN,4
Indirana salelkari,VU,3
Indirana sarojamma,NT,2
Indirana semipalmata,LC,1
Indirana tysoni,VU,3
Indirana yadera,VU,3
Indotyphlus battersbyi,DD,1
Kaloula pulchra,LC,1
Melanobatrachus indicus,VU,3
Mercurana myristicapalustris,EN,4
Micrixalus adonis,EN,4
Micrixalus candidus,EN,4
Micrixalus elegans,VU,3
Micrixalus frigidus,EN,4
Micrixalus fuscus,EN,4
Micrixalus gadgili,VU,3
Micrixalus herrei,EN,4
Micrixalus kodayari,NT,2
Micrixalus kottigeharensis,VU,3
Micrixalus kurichiyari,EN,4
Micrixalus mallani,EN,4
Micrixalus nelliyampathi,VU,3
Micrixalus nigraventris,EN,4
Micrixalus niluvasei,EN,4
Micrixalus phyllophilus,VU,3
Micrixalus sairandhri,EN,4
Micrixalus sali,EN,4
Micrixalus saxicola,LC,1
Micrixalus silvaticus,EN,4
Micrixalus specca,CR,5
Micrixalus spelunca,CR,5
Micrixalus thampii,EN,4
Micrixalus uttaraghati,EN,4
Microhyla kodial,DD,1
Microhyla laterite,EN,4
Microhyla nilphamariensis,LC,1
Microhyla ornata,LC,1
Microhyla rubra,LC,1
Microhyla sholigari,LC,1
Minervarya agricola,LC,1
Minervarya brevipalmata,DD,1
Minervarya cepfi,LC,1
Minervarya gomantaki,LC,1
Minervarya kadar,DD,1
Minervarya kalinga,LC,1
Minervarya keralensis,VU,3
Minervarya krishnan,DD,1
Minervarya mysorensis,LC,1
Minervarya nilagirica,LC,1
Minervarya pentali,LC,1
Minervarya rufescens,NT,2
Minervarya sahyadris,LC,1
Minervarya syhadrensis,LC,1
Mysticellus franki,CR,5
Nasikabatrachus sahyadrensis,NT,2
Nyctibatrachus acanthodermis,EN,4
Nyctibatrachus aliciae,VU,3
Nyctibatrachus anamallaiensis,EN,4
Nyctibatrachus athirappillyensis,EN,4
Nyctibatrachus beddomii,EN,4
Nyctibatrachus danieli,EN,4
Nyctibatrachus dattatreyaensis,EN,4
Nyctibatrachus deccanensis,EN,4
Nyctibatrachus gavi,VU,3
Nyctibatrachus grandis,EN,4
Nyctibatrachus humayuni,LC,1
Nyctibatrachus jog,VU,3
Nyctibatrachus karnatakaensis,EN,4
Nyctibatrachus kempholeyensis,LC,1
Nyctibatrachus kumbara,VU,3
Nyctibatrachus major,EN,4
Nyctibatrachus mewasinghi,DD,1
Nyctibatrachus minimus,VU,3
Nyctibatrachus minor,EN,4
Nyctibatrachus petraeus,NT,2
Nyctibatrachus poocha,NT,2
Nyctibatrachus sanctipalustris,EN,4
Nyctibatrachus shiradi,DD,1
Nyctibatrachus sylvaticus,EN,4
Nyctibatrachus tunga,LC,1
Nyctibatrachus vasanthi,NT,2
Nyctibatrachus vrijeuni,VU,3
Pedostibes tuberculosus,LC,1
Phrynoderma aloysii,LC,1
Phrynoderma hexadactylum,LC,1
Phrynoderma karaavali,LC,1
Phrynoderma kerala,LC,1
Phrynoderma konkani,LC,1
Polypedates leucomystax,LC,1
Polypedates maculatus,LC,1
Polypedates occidentalis,LC,1
Polypedates pseudocruciger,LC,1
Pseudophilautus amboli,LC,1
Pseudophilautus kani,LC,1
Pseudophilautus leucorhinus,EX,6
Pseudophilautus variabilis,EX,6
Pseudophilautus wynaadensis,LC,1
Raorchestes agasthyaensis,NT,2
Raorchestes akroparallagi,LC,1
Raorchestes anili,LC,1
Raorchestes beddomii,LC,1
Raorchestes blandus,EN,4
Raorchestes bombayensis,LC,1
Raorchestes chalazodes,VU,3
Raorchestes charius,LC,1
Raorchestes chlorosomma,EN,4
Raorchestes chromasynchysi,VU,3
Raorchestes coonoorensis,EN,4
Raorchestes crustai,NT,2
Raorchestes dubois,VU,3
Raorchestes echinatus,VU,3
Raorchestes flaviocularis,EN,4
Raorchestes flaviventris,VU,3
Raorchestes ghatei,LC,1
Raorchestes glandulosus,VU,3
Raorchestes griet,VU,3
Raorchestes hassanensis,NT,2
Raorchestes honnametti,NT,2
Raorchestes indigo,VU,3
Raorchestes jayarami,EN,4
Raorchestes johnceei,EN,4
Raorchestes kadalarensis,NT,2
Raorchestes kaikatti,EN,4
Raorchestes keirasabinae,VU,3
Raorchestes leucolatus,DD,1
Raorchestes luteolus,LC,1
Raorchestes manohari,EN,4
Raorchestes munnarensis,EN,4
Raorchestes nerostagona,VU,3
Raorchestes ochlandrae,LC,1
Raorchestes ponmudi,LC,1
Raorchestes ravii,DD,1
Raorchestes resplendens,EN,4
Raorchestes signatus,EN,4
Raorchestes silentvalley,NT,2
Raorchestes sushili,EN,4
Raorchestes theuerkaufi,EN,4
Raorchestes thodai,DD,1
Raorchestes tinniens,EN,4
Raorchestes travancoricus,EN,4
Raorchestes tuberohumerus,LC,1
Raorchestes uthamani,NT,2
Rhacophorus lateralis,VU,3
Rhacophorus malabaricus,LC,1
Rhacophorus pseudomalabaricus,VU,3
Sphaerotheca breviceps,LC,1
Sphaerotheca dobsonii,LC,1
Sphaerotheca maskeyi,LC,1
Sphaerotheca pluvialis,DD,1
Tamixalus calcadensis,LC,1
Uperodon anamalaiensis,LC,1
Uperodon globulosus,LC,1
Uperodon montanus,NT,2
Uperodon mormoratus,LC,1
Uperodon systoma,LC,1
Uperodon taprobanicus,LC,1
Uperodon triangularis,NT,2
Uperodon variegatus,LC,1
Uraeotyphlus bombayensis,LC,1
Uraeotyphlus gansi,DD,1
Uraeotyphlus interruptus,DD,1
Uraeotyphlus menoni,DD,1
Uraeotyphlus narayani,LC,1
Uraeotyphlus oxyurus,DD,1
Walkerana diplosticta,NT,2
Walkerana leptodactyla,VU,3
Walkerana muduga,DD,1
Walkerana phrynoderma,EN,4
